company_permalink,company_name,company_category_list,company_country_code,company_state_code,company_region,company_city,acquirer_permalink,acquirer_name,acquirer_category_list,acquirer_country_code,acquirer_state_code,acquirer_region,acquirer_city,acquired_at,acquired_month,price_amount,price_currency_code
/organization/003-ru,003.RU,Consumer Electronics|Electronics|Internet,RUS,48,Moscow,Moscow,/organization/media-saturn,Media Saturn,Enterprise Software|Media|Sales and Marketing,ESP,56,Barcelona,Barcelona,2012-07-23,2012-07,,USD
/organization/0958572-b-c-ltd,0958572 B.C. Ltd.,,,,,,/organization/atlas-intellectual-property-management-co,ATLAS Intellectual Property Management Co.,Finance|FinTech|Mobile|Telecommunications,USA,WA,Seattle,Seattle,2012-02-02,2012-02,9000000,USD
/organization/1-800-communications,1-800 Communications,,USA,NY,Long Island,Hicksville,/organization/carsdirect-com,CarsDirect.com,E-Commerce,USA,CA,Los Angeles,El Segundo,2005-06-12,2005-06,,USD
/organization/1-800-contacts,1-800 Contacts,Consumer Goods|Retail,USA,UT,Salt Lake City,Draper,/organization/thomas-h-lee-partners,Thomas H. Lee Partners,Business Development|Impact Investing|Investment Management,USA,MA,Boston,Boston,2014-01-07,2014-01,,USD
/organization/1-844-446-4460-pogo-customer-service-number-pogo-help-phone-number-for-pogo-support,"Games Support +1-800-311-5934 Pogo Games technical Support Phone Number, Pogo Tech Support number",,,,,,/organization/pogo-customer-service-number-1-844-446-4460-pogo-help-phone-number-some-times-pogo-games-4,"Games Support +1-800-311-5934 Pogo Games technical Support Phone Number, Pogo Tech Support number",,USA,NY,New York City,Mamaroneck,2001-02-02,2001-02,,USD
/organization/1-mainstream,1 Mainstream,Apps|Cable|Distribution|Software,USA,CA,SF Bay Area,Cupertino,/organization/cisco,Cisco,Communications Infrastructure|Data Center Infrastructure|Hardware|Networking|Software,USA,CA,SF Bay Area,San Jose,2015-10-28,2015-10,,USD
/organization/1-nation-technology,1 Nation Technology,,,,,,/organization/vology,Vology,Computers|Hardware|Networking|Professional Services,USA,FL,Tampa,Oldsmar,2006-01-01,2006-01,,USD
/organization/1000-markets,1000 Markets,Art|E-Commerce|Marketplaces,USA,WA,Seattle,Seattle,/organization/bonanzle,Bonanza,Art|Beauty|Collectibles|E-Commerce|Fashion|Marketplaces|Online Shopping|Shopping|Social Buying|Textbooks,USA,WA,Seattle,Seattle,2012-09-22,2012-09,,USD
/organization/1000cruises-2,1000cruises,,DEU,4,Hamburg,Hamburg,/organization/dreamlines,Dreamlines,Online Travel|Shipping|Transportation|Travel|Travel & Tourism,DEU,4,Hamburg,Hamburg,2013-11-14,2013-11,,USD
/organization/1000memories,1000memories,Curated Web,USA,CA,SF Bay Area,San Francisco,/organization/ancestry-com,Ancestry,E-Commerce|Internet,USA,UT,Salt Lake City,Provo,2012-10-03,2012-10,,USD
/organization/100plus,100Plus,Analytics,USA,CA,SF Bay Area,San Francisco,/organization/practice-fusion,Practice Fusion,Electronic Health Records|Health and Wellness|Health Care|Physicians,USA,CA,SF Bay Area,San Francisco,2013-02-27,2013-02,,USD
/organization/1010data,1010data,Software,USA,NY,New York City,New York,/organization/advance-publications,Advance Publications,Media,USA,NY,New York City,Staten Island,2015-08-03,2015-08,500000000,USD
/organization/10best,10best,Curated Web,USA,SC,Greenville - Spartanburg,Greenville,/organization/nile-guide,NileGuide,Career Planning|Social Media|Travel,USA,CA,SF Bay Area,San Francisco,2011-01-25,2011-01,,USD
/organization/10east,10East,Web Hosting,USA,FL,Jacksonville,Jacksonville,/organization/railcar-management,Railcar Management,Enterprise Software,,,,,2009-04-14,2009-04,,USD
/organization/10k-wizard,10K Wizard,Big Data|Databases|Data Mining,,,,,/organization/morningstar,Morningstar,Investment Management|Software,USA,IL,Chicago,Chicago,2008-12-04,2008-12,,USD
/organization/10stamps-contigua,10stamps,Big Data|Local Businesses|Mobile,DEU,2,Munich,Munich,/organization/10stamps-contigua,10stamps,Big Data|Local Businesses|Mobile,DEU,2,Munich,Munich,2015-11-23,2015-11,,USD
/organization/10stamps-contigua,10stamps,Big Data|Local Businesses|Mobile,DEU,2,Munich,Munich,/organization/wirecard,Wirecard,Payments|Software,DEU,2,Munich,Munich,2015-11-23,2015-11,,USD
/organization/11-main,11 Main,Retail,,,,,/organization/opensky,OpenSky,E-Commerce|Social Commerce,USA,NY,New York City,New York,2015-06-23,2015-06,,USD
/organization/118boardshop-com,118Boardshop.com,Financial Services,USA,CA,Los Angeles,Los Angeles,/organization/leftlane-sports,LeftLane Sports,Sports,USA,CA,San Luis Obispo,San Luis Obispo,2011-10-01,2011-10,,USD
/organization/123linkit-com,123LinkIt.com,Advertising|Technology,,,,,/organization/netline,NetLine Corporation,Advertising|B2B|Brand Marketing|Content Syndication|Internet Marketing|Lead Generation,USA,CA,SF Bay Area,Los Gatos,2011-12-06,2011-12,,USD
/organization/12designer,12designer,Contests|Creative|Design|Entrepreneur|Graphics|Public Relations|Small and Medium Businesses|Startups|Web Design,,,,,/organization/99designs,99designs,Crowdsourcing|Design|Marketplaces|Online Shopping,USA,CA,SF Bay Area,Oakland,2012-08-06,2012-08,,USD
/organization/12society,12Society,E-Commerce,USA,CA,Los Angeles,West Hollywood,/organization/quarterly,Quarterly,Curated Web|E-Commerce|Gift Card,USA,CA,Los Angeles,Culver City,2013-07-03,2013-07,,USD
/organization/13th-lab,13th Lab,Augmented Reality|Computer Vision|Games|iPad|Mobile,SWE,26,Stockholm,Stockholm,/organization/oculus-vr,Oculus VR,Consumer Electronics|Hardware + Software|Video Games|Virtualization|Wearables,USA,CA,Anaheim,Irvine,2014-12-12,2014-12,,USD
/organization/1492-technologies,1492 Technologies,,,,,,/organization/primus-telecommunications,Primus Telecommunications,Public Relations,USA,VA,"Washington, D.C.",Mclean,1999-11-22,1999-11,,USD
/organization/160by2,160by2,Advertising,IND,2,Hyderabad,Hyderabad,/organization/way2sms-com,Way2SMS.com,Messaging|Mobile,IND,2,Hyderabad,Hyderabad,2012-01-04,2012-01,,USD
